5|1496375287030|iniciado
11|1496685941214|iniciado
12|1496685941792|iniciado
13|1496685941980|iniciado
14|1496685942151|iniciado
15|1496685942308|iniciado
16|1496685946183|iniciado
17|1496685946339|iniciado
18|1496685946495|iniciado
19|1496685946667|iniciado
22|1496863384595|iniciado
23|1496863388317|iniciado
24|1496863390670|iniciado
25|1496863391230|iniciado
26|1496863391503|iniciado
27|1496863391710|iniciado
28|1496863537644|iniciado
28|1496863547250|enviado
28|1496863551723|entregado
29|1496894700882|iniciado
29|1496895196072|enviado
29|1496895211200|entregado
