1|2|34|Blusa|25|50.0
1|3|56|Tennis|30|90.0
1|1|90|Collar|23|23.0
2|2|78|Playera|15|30.0
2|1|12|Camisa|20|20.0
3|1|90|Collar|23|23.0
3|2|34|Blusa|25|50.0
3|1|56|Tennis|30|30.0
5|2|12|Camisa|20|40.0
5|2|34|Blusa|25|50.0
22|12|12|Camisa|20|240.0
23|12|12|Camisa|20|240.0
24|12|12|Camisa|20|240.0
25|12|12|Camisa|20|240.0
26|12|12|Camisa|20|240.0
27|12|12|Camisa|20|240.0
28|1|12|Camisa|20|20.0
28|2|34|Blusa|25|50.0
28|3|56|Tennis|30|90.0
29|1|12|Camisa|20|20.0
29|2|34|Blusa|25|50.0
29|3|56|Tennis|30|90.0
